event,initial_day,end_day,length,type,total_area,total_mean,total_var,oceanic_area,oceanic_mean,oceanic_var
1,06/01/1996,10/01/1996,5,SACZ,90.10,202.12,284.61,22.26,209.58,217.92
2,16/02/1996,22/02/1996,7,SACZ,85.96,198.55,339.04,22.40,198.69,316.74
3,01/03/1996,05/03/1996,5,SACZ,108.83,196.60,359.15,27.23,205.30,256.38
4,21/11/1996,26/11/1996,6,SACZOCN,87.85,195.76,392.97,31.48,196.07,374.14
5,20/12/1996,25/12/1996,6,SACZ,103.39,199.72,342.32,27.63,202.91,267.42
6,02/01/1997,05/01/1997,4,SACZOCN,96.86,190.21,528.88,30.16,192.80,456.44
7,20/01/1997,26/01/1997,7,SACZ,101.42,193.82,438.26,21.62,201.87,292.05
8,15/02/1997,18/02/1997,4,SACZ,90.81,199.04,383.24,21.21,201.92,349.34
9,27/02/1997,04/03/1997,6,SACZOCN,108.98,192.85,477.11,35.05,192.07,529.59
10,13/11/1997,18/11/1997,6,SACZ,95.51,200.47,355.46,26.54,206.92,195.95
11,07/01/1998,10/01/1998,4,SACZ,107.81,201.44,327.66,34.49,203.95,253.14
12,09/02/1998,16/02/1998,8,SACZ,82.40,200.38,336.65,22.54,202.23,265.50
13,09/11/1998,14/11/1998,6,SACZOCN,99.20,198.16,381.60,35.47,194.45,451.14
14,19/11/1998,23/11/1998,5,SACZ,87.46,196.44,366.97,25.36,200.41,405.64
15,25/11/1998,28/11/1998,4,SACZ,95.11,196.19,543.82,28.19,204.00,231.67
16,01/12/1998,09/12/1998,9,SACZ,88.01,196.80,379.72,25.30,199.19,302.04
17,16/12/1998,19/12/1998,4,SACZ,101.37,201.49,350.96,39.23,202.48,384.37
18,22/12/1998,26/12/1998,5,SACZ,71.10,199.60,376.20,14.59,207.98,182.26
19,01/01/1999,08/01/1999,8,SACZ,108.78,193.27,477.03,29.84,200.52,376.15
20,03/03/1999,06/03/1999,4,SACZOCN,107.15,193.51,442.24,23.69,191.22,622.54
21,12/11/1999,16/11/1999,5,SACZ,62.02,201.19,342.55,24.93,202.09,318.67
22,23/11/1999,28/11/1999,6,SACZ,96.03,200.00,361.35,43.06,201.75,282.68
23,03/12/1999,10/12/1999,8,SACZ,89.34,200.70,397.38,23.85,209.50,216.56
24,12/12/1999,15/12/1999,4,SACZ,107.39,195.58,387.57,34.36,201.03,308.38
25,30/12/1999,07/01/2000,9,SACZ,102.84,194.00,467.90,27.25,200.77,374.61
26,25/01/2000,29/01/2000,5,SACZ,96.12,199.41,348.95,24.05,202.44,305.69
27,15/02/2000,19/02/2000,5,SACZ,100.24,200.77,284.48,25.05,199.11,356.45
28,14/11/2000,18/11/2000,5,SACZ,70.25,195.74,494.39,22.92,206.20,243.29
29,04/12/2000,07/12/2000,4,SACZ,110.11,196.89,416.90,39.78,198.85,325.57
30,18/02/2001,21/02/2001,4,SACZ,103.46,198.65,366.74,21.42,201.71,313.25
31,01/11/2001,05/11/2001,5,SACZOCN,98.35,196.64,457.56,39.91,196.14,443.16
32,15/11/2001,19/11/2001,5,SACZ,89.52,198.76,352.82,31.63,203.01,243.97
33,28/11/2001,01/12/2001,4,SACZ,115.86,198.58,387.95,41.90,203.46,306.76
34,05/12/2001,20/12/2001,16,SACZ,88.96,198.00,407.77,28.80,201.23,338.41
35,22/12/2001,28/12/2001,7,SACZ,79.26,198.19,436.27,15.90,204.50,267.97
36,07/01/2002,12/01/2002,6,SACZ,90.67,194.37,493.00,28.48,202.47,316.24
37,02/02/2002,05/02/2002,4,SACZOCN,89.39,196.12,410.04,25.14,193.95,427.56
38,16/02/2002,25/02/2002,10,SACZ,97.91,199.29,369.17,30.02,201.42,302.65
39,24/12/2002,27/12/2002,4,SACZ,85.49,198.48,407.77,24.32,203.78,286.51
40,04/01/2003,08/01/2003,5,SACZ,77.71,201.38,406.88,28.56,199.89,438.03
41,11/01/2003,19/01/2003,9,SACZ,96.28,196.10,459.28,27.16,200.75,345.01
42,24/01/2003,02/02/2003,10,SACZ,85.05,199.34,384.56,20.27,202.09,339.79
43,02/11/2003,05/11/2003,4,SACZ,67.12,197.32,555.64,22.45,203.22,294.09
