event,initial_day,end_day,length,type,total_mean,oceanic_mean,total_area,oceanic_area
1,04/01/1986,12/01/1986,9,SACZ,197.61,203.70,88.94,21.13
2,18/01/1986,23/01/1986,6,SACZ,200.40,206.13,94.56,24.97
3,02/02/1986,05/02/1986,4,SACZ,199.39,205.61,97.28,23.78
4,17/02/1986,20/02/1986,4,SACZ,192.49,205.11,103.76,15.34
5,18/10/1986,22/10/1986,5,SACZ,206.79,210.16,75.41,25.36
6,11/11/1986,14/11/1986,4,SACZ,202.95,201.37,69.64,24.74
7,17/12/1986,20/12/1986,4,SACZ,199.67,205.96,89.60,22.39
8,22/12/1986,29/12/1986,8,SACZ,195.42,199.48,108.70,31.87
9,11/01/1987,14/01/1987,4,SACZ,200.64,206.56,105.48,29.37
10,24/01/1987,30/01/1987,7,SACZ,194.67,200.53,89.47,21.40
11,01/02/1987,04/02/1987,4,SACZ,202.49,211.39,80.43,21.51
12,07/03/1987,13/03/1987,7,SACZ,193.59,199.51,101.61,33.24
13,16/11/1987,20/11/1987,5,SACZ,197.87,200.19,94.50,36.28
14,26/11/1987,29/11/1987,4,SACZ,196.27,197.83,98.89,36.09
15,21/12/1987,24/12/1987,4,SACZOCN,196.89,187.04,92.17,39.14
16,29/12/1987,03/01/1988,6,SACZ,198.10,202.22,104.48,32.91
17,06/01/1988,12/01/1988,7,SACZ,195.40,197.79,92.32,25.70
18,05/02/1988,10/02/1988,6,SACZ,199.18,202.98,96.13,26.76
19,16/02/1988,20/02/1988,5,SACZ,195.10,200.11,95.61,25.65
20,12/10/1988,15/10/1988,4,SACZ,200.87,203.30,87.09,41.84
21,31/10/1988,10/11/1988,11,SACZ,198.67,201.45,75.15,24.38
22,20/12/1988,08/01/1989,20,SACZ,196.30,203.69,99.67,22.63
23,12/01/1989,16/01/1989,5,SACZ,199.63,201.88,101.42,24.97
24,08/02/1989,13/02/1989,6,SACZ,195.29,201.30,95.37,21.36
25,07/03/1989,16/03/1989,10,SACZ,193.33,200.27,104.51,26.74
26,27/11/1989,30/11/1989,4,SACZ,199.80,206.36,90.45,22.63
27,02/12/1989,05/12/1989,4,SACZOCN,189.40,190.18,104.24,40.11
28,30/12/1989,03/01/1990,5,SACZ,196.72,197.37,107.86,34.65
29,05/01/1990,12/01/1990,8,SACZ,198.26,204.67,91.25,21.08
30,14/01/1990,17/01/1990,4,SACZ,209.02,215.00,76.47,17.91
31,13/02/1990,17/02/1990,5,SACZOCN,192.09,194.44,108.42,33.93
32,14/10/1990,19/10/1990,6,SACZ,202.22,208.34,84.66,22.24
33,28/12/1990,31/12/1990,4,SACZ,199.77,204.19,107.87,31.40
34,04/01/1991,07/01/1991,4,SACZ,193.88,197.53,104.94,30.10
35,14/01/1991,18/01/1991,5,SACZ,194.18,198.16,100.48,28.70
36,25/01/1991,28/01/1991,4,SACZ,197.23,196.69,109.14,37.42
37,25/03/1991,30/03/1991,6,SACZ,195.47,198.48,90.51,29.26
38,13/11/1991,16/11/1991,4,SACZ,198.57,204.78,116.77,47.28
39,18/11/1991,21/11/1991,4,SACZOCN,199.35,196.61,98.49,33.79
40,12/01/1992,15/01/1992,4,SACZOCN,187.11,194.61,120.15,35.30
41,24/02/1992,04/03/1992,10,SACZ,199.84,203.37,83.04,22.28
42,29/11/1992,02/12/1992,4,SACZ,198.38,203.89,100.82,31.10
43,10/12/1992,15/12/1992,6,SACZ,197.36,199.39,98.70,33.84
44,17/12/1992,21/12/1992,5,SACZ,202.17,206.67,80.73,25.72
45,19/01/1993,23/01/1993,5,SACZ,201.30,200.03,102.08,27.20
46,15/02/1993,18/02/1993,4,SACZ,197.16,201.62,78.32,18.39
47,20/02/1993,27/02/1993,8,SACZ,198.77,200.43,81.99,22.84
48,19/03/1993,28/03/1993,10,SACZ,201.89,206.72,88.79,19.47
49,25/11/1993,28/11/1993,4,SACZ,196.17,197.16,108.54,33.70
50,18/12/1993,24/12/1993,7,SACZ,195.06,204.20,86.39,19.26
51,29/12/1993,06/01/1994,9,SACZ,198.27,199.23,90.40,23.15
52,09/01/1994,14/01/1994,6,SACZ,192.93,198.50,88.73,23.19
53,26/01/1994,29/01/1994,4,SACZ,197.21,204.15,92.02,18.42
54,22/02/1994,25/02/1994,4,SACZ,199.68,200.45,109.93,35.79
55,02/03/1994,10/03/1994,9,SACZ,197.08,197.11,86.81,24.31
56,17/11/1994,25/11/1994,9,SACZ,194.53,203.06,88.89,24.25
57,28/11/1994,01/12/1994,4,SACZ,199.74,207.60,92.23,25.98
58,17/12/1994,20/12/1994,4,SACZ,199.41,196.86,109.99,37.96
59,29/12/1994,01/01/1995,4,SACZ,195.12,203.93,95.95,22.63
60,28/01/1995,01/02/1995,5,SACZ,197.53,200.20,95.88,23.89
61,03/02/1995,08/02/1995,6,SACZ,190.09,201.97,104.91,30.45
62,15/02/1995,21/02/1995,7,SACZ,201.11,212.31,85.18,13.76
63,13/10/1995,16/10/1995,4,SACZ,195.78,197.73,71.87,33.58
64,28/10/1995,04/11/1995,8,SACZ,202.07,202.76,64.33,23.73
65,12/12/1995,19/12/1995,8,SACZ,196.69,208.28,75.10,20.22
66,25/12/1995,03/01/1996,10,SACZ,198.29,197.63,104.33,31.12
67,06/01/1996,10/01/1996,5,SACZ,202.12,209.58,90.10,22.26
68,16/02/1996,22/02/1996,7,SACZ,198.55,198.69,85.96,22.40
69,01/03/1996,05/03/1996,5,SACZ,196.60,205.30,108.83,27.23
70,21/11/1996,26/11/1996,6,SACZOCN,195.76,196.07,87.85,31.48
71,20/12/1996,25/12/1996,6,SACZ,199.72,202.91,103.39,27.63
72,02/01/1997,05/01/1997,4,SACZOCN,190.21,192.80,96.86,30.16
73,20/01/1997,26/01/1997,7,SACZ,193.82,201.87,101.42,21.62
74,15/02/1997,18/02/1997,4,SACZ,199.04,201.93,90.81,21.21
75,27/02/1997,04/03/1997,6,SACZOCN,192.85,192.07,108.98,35.05
76,13/11/1997,18/11/1997,6,SACZ,200.47,206.92,95.51,26.54
77,07/01/1998,10/01/1998,4,SACZ,201.44,203.95,107.81,34.49
78,09/02/1998,16/02/1998,8,SACZ,200.38,202.23,82.40,22.54
79,09/11/1998,14/11/1998,6,SACZOCN,198.16,194.45,99.20,35.47
80,19/11/1998,23/11/1998,5,SACZ,196.44,200.41,87.46,25.36
81,25/11/1998,28/11/1998,4,SACZ,196.19,204.00,95.11,28.19
82,01/12/1998,09/12/1998,9,SACZ,196.80,199.19,88.01,25.30
83,16/12/1998,19/12/1998,4,SACZ,201.49,202.48,101.37,39.23
84,22/12/1998,26/12/1998,5,SACZ,199.60,207.98,71.10,14.59
85,01/01/1999,08/01/1999,8,SACZ,193.28,200.52,108.78,29.84
86,03/03/1999,06/03/1999,4,SACZOCN,193.51,191.22,107.15,23.69
87,12/11/1999,16/11/1999,5,SACZ,201.19,202.09,62.02,24.93
88,23/11/1999,28/11/1999,6,SACZ,200.00,201.75,96.03,43.06
89,03/12/1999,10/12/1999,8,SACZ,200.70,209.50,89.34,23.85
90,12/12/1999,15/12/1999,4,SACZ,195.58,201.03,107.39,34.36
91,30/12/1999,07/01/2000,9,SACZ,194.00,200.77,102.84,27.25
92,25/01/2000,29/01/2000,5,SACZ,199.41,202.44,96.12,24.05
93,15/02/2000,19/02/2000,5,SACZ,200.77,199.11,100.24,25.05
94,14/11/2000,18/11/2000,5,SACZ,195.74,206.20,70.25,22.92
95,04/12/2000,07/12/2000,4,SACZ,196.89,198.85,110.11,39.78
96,18/02/2001,21/02/2001,4,SACZ,198.65,201.71,103.46,21.42
97,01/11/2001,05/11/2001,5,SACZOCN,196.64,196.14,98.35,39.91
98,15/11/2001,19/11/2001,5,SACZ,198.76,203.01,89.52,31.63
99,28/11/2001,01/12/2001,4,SACZ,199.35,205.41,110.16,37.56
100,05/12/2001,20/12/2001,16,SACZ,198.00,201.23,88.96,28.80
101,22/12/2001,28/12/2001,7,SACZ,198.19,204.50,79.26,15.90
102,07/01/2002,12/01/2002,6,SACZ,194.37,202.47,90.67,28.48
103,02/02/2002,05/02/2002,4,SACZOCN,196.12,193.95,89.39,25.14
104,16/02/2002,25/02/2002,10,SACZ,199.29,201.42,97.91,30.02
105,24/12/2002,27/12/2002,4,SACZ,198.48,203.78,85.49,24.32
106,04/01/2003,08/01/2003,5,SACZ,201.38,199.89,77.71,28.56
107,11/01/2003,19/01/2003,9,SACZ,196.10,200.75,96.28,27.16
108,24/01/2003,02/02/2003,10,SACZ,199.34,202.09,85.05,20.27
109,11/10/2003,15/10/2003,5,SACZ,203.71,204.72,65.65,24.66
110,02/11/2003,05/11/2003,4,SACZ,197.32,203.22,67.12,22.45
111,18/11/2003,21/11/2003,4,SACZ,201.16,206.31,87.06,29.92
112,24/11/2003,28/11/2003,5,SACZ,198.56,201.76,87.10,26.23
113,31/12/2003,04/01/2004,5,SACZ,198.20,196.85,90.22,21.88
114,11/01/2004,18/01/2004,8,SACZOCN,187.31,192.77,120.05,41.31
115,05/02/2004,11/02/2004,7,SACZ,198.73,196.84,98.53,28.94
116,15/02/2004,24/02/2004,10,SACZ,192.86,199.36,93.02,22.81
117,14/03/2004,24/03/2004,11,SACZOCN,197.86,195.24,97.70,32.86
118,16/11/2004,20/11/2004,5,SACZ,197.46,198.03,99.83,41.91
119,07/12/2004,13/12/2004,7,SACZ,200.89,201.29,92.79,32.19
120,21/12/2004,25/12/2004,5,SACZ,196.70,202.95,97.43,33.64
121,03/01/2005,07/01/2005,5,SACZ,199.52,205.00,83.25,28.60
122,16/01/2005,21/01/2005,6,SACZ,192.30,199.76,94.50,27.39
123,25/01/2005,28/01/2005,4,SACZ,198.77,211.85,89.51,19.21
124,13/02/2005,17/02/2005,5,SACZOCN,195.65,196.37,106.94,37.87
125,26/02/2005,05/03/2005,8,SACZ,195.67,198.73,89.92,23.87
126,16/10/2005,19/10/2005,4,SACZ,206.38,209.73,85.64,33.79
127,11/12/2005,15/12/2005,5,SACZOCN,195.04,195.98,90.34,27.13
128,17/12/2005,21/12/2005,5,SACZ,203.12,204.02,100.87,32.60
129,24/12/2005,29/12/2005,6,SACZ,195.55,200.52,92.30,20.83
130,22/01/2006,02/02/2006,12,SACZ,202.16,204.41,87.06,22.46
131,16/02/2006,19/02/2006,4,SACZ,196.92,199.83,81.16,23.90
132,07/03/2006,11/03/2006,5,SACZ,198.69,201.88,92.49,26.23
133,15/03/2006,18/03/2006,4,SACZ,194.24,208.04,83.37,9.32
134,27/11/2006,01/12/2006,5,SACZ,196.99,200.05,101.66,29.65
135,06/12/2006,12/12/2006,7,SACZ,195.26,198.01,96.89,26.67
136,12/01/2007,18/01/2007,7,SACZ,200.60,200.20,105.67,27.43
137,11/02/2007,15/02/2007,5,SACZOCN,192.16,187.29,103.31,34.51
138,02/11/2007,07/11/2007,6,SACZ,200.87,207.01,81.55,27.53
139,27/11/2007,02/12/2007,6,SACZ,194.97,197.39,104.12,37.17
140,06/12/2007,09/12/2007,4,SACZ,196.64,205.48,91.78,20.81
141,20/12/2007,23/12/2007,4,SACZ,200.46,201.26,78.80,27.68
142,11/01/2008,14/01/2008,4,SACZ,199.61,212.25,94.59,16.58
143,03/02/2008,06/02/2008,4,SACZ,196.66,208.31,73.11,13.01
144,10/02/2008,13/02/2008,4,SACZ,204.69,212.29,81.22,18.51
145,22/02/2008,29/02/2008,8,SACZOCN,194.72,194.08,121.50,32.85
146,05/03/2008,08/03/2008,4,SACZ,193.66,212.87,78.95,3.48
147,13/03/2008,17/03/2008,5,SACZ,195.27,200.28,97.33,28.46
148,17/11/2008,23/11/2008,7,SACZ,198.44,200.24,74.81,26.05
