event,initial_day,end_day,length,source
1,12/01/1992,12/05/1992,5,Bibliography
2,01/09/1993,01/13/1993,5,Bibliography
3,02/02/1993,02/06/1993,5,Bibliography
4,02/09/1993,02/16/1993,8,Bibliography
5,02/22/1993,02/27/1993,6,Bibliography
6,12/18/1993,12/24/1993,7,Bibliography
7,12/27/1993,12/31/1993,5,Bibliography
8,01/01/1994,01/07/1994,7,Bibliography
9,01/09/1994,01/14/1994,6,Bibliography
10,12/15/1994,12/18/1994,4,Bibliography
11,01/26/1995,01/31/1995,6,Bibliography
12,02/01/1995,02/21/1995,21,Bibliography
13,12/05/1995,12/10/1995,6,Bibliography
14,12/13/1995,12/16/1995,4,Bibliography
15,12/26/1995,12/31/1995,6,Bibliography
16,01/01/1996,01/11/1996,11,Climanalise
17,01/16/1996,01/21/1996,6,Climanalise
18,02/03/1996,02/25/1996,23,Climanalise
19,03/01/1996,03/11/1996,11,Climanalise
20,01/02/1997,01/08/1997,7,Climanalise
21,01/20/1997,01/29/1997,10,Climanalise
22,03/01/1997,03/05/1997,5,Climanalise
23,03/17/1997,03/23/1997,7,Climanalise
24,11/14/1997,11/19/1997,6,Climanalise
25,02/12/1998,02/16/1998,5,Climanalise
26,11/20/1998,11/25/1998,6,Climanalise
27,01/06/1999,01/18/1999,13,Climanalise
28,10/24/1999,11/03/1999,11,Climanalise
29,11/17/1999,11/25/1999,9,Climanalise
30,12/08/1999,12/14/1999,7,Climanalise
31,12/16/1999,12/20/1999,5,Climanalise
32,01/01/2000,01/08/2000,8,Climanalise
33,01/21/2000,01/24/2000,4,Climanalise
34,02/06/2000,02/13/2000,8,Climanalise
35,12/01/2000,12/08/2000,8,Climanalise
36,12/17/2000,12/22/2000,6,Climanalise
37,01/01/2001,01/04/2001,4,Climanalise
38,11/01/2001,11/06/2001,6,Climanalise
39,11/16/2001,11/21/2001,6,Climanalise
40,12/17/2001,12/21/2001,5,Climanalise
41,12/24/2001,12/28/2001,5,Climanalise
42,02/04/2002,02/07/2002,4,Climanalise
43,02/16/2002,02/24/2002,9,Climanalise
44,12/10/2002,12/16/2002,7,Climanalise
45,12/27/2002,01/07/2003,12,Climanalise
46,01/13/2003,01/19/2003,7,Climanalise
47,01/25/2003,02/01/2003,8,Climanalise
48,01/02/2004,01/06/2004,5,Climanalise
49,01/10/2004,01/20/2004,11,Climanalise
50,01/25/2004,01/29/2004,5,Climanalise
51,02/07/2004,02/11/2004,5,Climanalise
52,02/20/2004,02/24/2004,5,Climanalise
53,11/20/2004,11/25/2004,6,Climanalise
54,12/09/2004,12/14/2004,6,Climanalise
55,12/21/2004,12/25/2004,5,Climanalise
56,01/17/2005,01/21/2005,5,Climanalise
57,02/13/2005,02/22/2005,10,Climanalise
58,03/01/2005,03/07/2005,7,Climanalise
59,03/15/2005,03/20/2005,6,Climanalise
60,11/10/2005,11/15/2005,6,Climanalise
61,11/17/2005,11/21/2005,5,Climanalise
62,11/24/2005,11/28/2005,5,Climanalise
63,12/11/2005,12/16/2005,6,Climanalise
64,12/24/2005,12/29/2005,6,Climanalise
65,01/01/2006,01/08/2006,8,Climanalise
66,01/27/2006,02/02/2006,7,Climanalise
67,02/09/2006,02/13/2006,5,Climanalise
68,03/07/2006,03/16/2006,10,Climanalise
69,10/17/2006,10/20/2006,4,Climanalise
70,11/10/2006,11/14/2006,5,Climanalise
71,11/26/2006,12/02/2006,7,Climanalise
72,12/07/2006,12/16/2006,10,Climanalise
73,12/27/2006,01/16/2007,21,Climanalise
74,01/22/2007,01/27/2007,6,Climanalise
75,01/30/2007,02/09/2007,11,Climanalise
76,02/12/2007,02/17/2007,6,Climanalise
77,03/19/2007,03/23/2007,5,Climanalise
78,10/22/2007,10/26/2007,5,Climanalise
79,11/04/2007,11/07/2007,4,Climanalise
80,11/27/2007,12/02/2007,6,Climanalise
81,12/19/2007,12/24/2007,6,Climanalise
82,01/06/2008,01/09/2008,4,Climanalise
83,01/20/2008,01/24/2008,5,Climanalise
84,01/30/2008,02/08/2008,10,Climanalise
85,02/22/2008,02/25/2008,4,Climanalise
86,02/26/2008,02/29/2008,4,Climanalise
87,03/03/2008,03/08/2008,6,Climanalise
88,03/12/2008,03/17/2008,6,Climanalise
89,10/18/2008,10/21/2008,4,Climanalise
90,11/07/2008,11/11/2008,5,Climanalise
91,11/13/2008,11/24/2008,12,Climanalise
92,11/27/2008,12/01/2008,5,Climanalise
93,12/03/2008,12/07/2008,5,Climanalise
94,12/12/2008,12/20/2008,9,Climanalise
95,12/25/2008,12/28/2008,4,Climanalise
96,01/04/2009,01/08/2009,5,Climanalise
97,01/20/2009,01/24/2009,5,Climanalise
98,02/12/2009,02/16/2009,5,Climanalise
99,03/13/2009,03/16/2009,4,Climanalise
100,03/22/2009,04/02/2009,12,Climanalise
101,04/08/2009,04/12/2009,5,Climanalise
102,10/08/2009,10/11/2009,4,Climanalise
103,10/21/2009,10/24/2009,4,Climanalise
104,10/27/2009,11/03/2009,8,Climanalise
105,12/04/2009,12/09/2009,6,Climanalise
106,12/12/2009,12/15/2009,4,Climanalise
107,01/20/2010,01/23/2010,4,Climanalise
108,02/28/2010,03/04/2010,5,Climanalise
109,03/06/2010,03/12/2010,7,Climanalise
110,04/07/2010,04/12/2010,6,Climanalise
111,10/31/2010,11/04/2010,5,Climanalise
112,11/06/2010,11/12/2010,7,Climanalise
